ControlID,ControlName,Framework,Effectiveness,OwnerDepartment
CNT01,IAM Least Privilege Role Mapping,NIST CSF,Effective,DEP01
CNT02,Security Awareness Training (Phishing),ISO 27001,Partially Effective,DEP04
CNT03,Automated Certificate Renewal,CIS Controls,Effective,DEP02
CNT04,MFA Enforced via SSO,SOC 2,Effective,DEP01
CNT05,Daily Encrypted Cloud Backups,NIST CSF,Effective,DEP02
CNT06,Endpoint Detection and Response (EDR),SOC 2,Effective,DEP01
CNT07,Third-Party Risk Assessment Program,ISO 27001,Ineffective,DEP05
CNT08,Annual Disaster Recovery Simulation,ISO 27001,Partially Effective,DEP06
CNT09,Data Loss Prevention (DLP) Policies,NIST CSF,Effective,DEP01
CNT10,Data Classification Framework,SOC 2,Partially Effective,DEP05
